Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions)
203,OMV Group,Austria,22308,330,65523,0.559,3897,0.507,60210
204,LG Electronics,South Korea,74000,187,64953,-0.029,927,0.028,43846
205,Greenland Holding Group,China,70177,125,64802,-0.233,150,-0.843,197953
206,Country Garden Holdings,China,69932,138,63979,-0.211,-900,-1.217,252924
207,Itaú Unibanco Holding,Brazil,101094,333,63884,0.552,5755,0.16,439546
208,Société Générale,France,115466,220,63417,0.074,2122,-0.682,1586435
209,China Huaneng Group,China,124588,215,63284,0.054,1125,0.651,205184
210,Unilever,Britain,127056,205,63182,0.019,8038,0.124,83035
211,Intel,U.S.,131900,145,63054,-0.202,8014,-0.597,182103
212,BYD,China,570060,436,63041,0.924,2471,4.234,71603
213,HP,U.S.,58000,202,62983,-0.008,3203,-0.507,38587
214,Alimentation Couche-Tard,Canada,122000,308,62810,0.373,2683,-0.008,29592
215,TD Synnex,U.S.,28500,451,62344,0.972,651,0.649,29734
216,PKN ORLEN Group,Poland,64494,424,62326,0.832,7520,1.61,62060
217,Lenovo Group,China,77000,171,61947,-0.135,1608,-0.208,38920
218,Panasonic Holdings,Japan,233391,193,61903,-0.059,1962,-0.137,60717
219,Airbus,Netherlands,134267,207,61805,0.002,4467,-0.103,123712
220,Accenture,Ireland,721000,268,61594,0.219,6877,0.164,47263
221,Idemitsu Kosan,Japan,16795,250,61424,0.174,1874,-0.247,36653
222,Shenghong Holding Group,China,39059,241,61251,0.135,428,-0.546,29893
223,Industrial Bank,China,69840,208,60962,-0.005,13584,0.06,1343541
224,IBM,U.S.,303100,168,60530,-0.163,1639,-0.715,127243
225,Zhejiang Geely Holding Group,China,131517,229,60396,0.081,945,-0.358,81291
226,HCA Healthcare,U.S.,250500,221,60233,0.025,5643,-0.189,52438
227,Prudential Financial,U.S.,39583,175,60050,-0.153,-1438,-1.186,689917
228,Louis Dreyfus,Netherlands,16300,276,59931,0.209,1006,0.443,21613
229,HBIS Group,China,99807,189,59563,-0.1,50,-0.775,78229
230,Caterpillar,U.S.,109100,265,59427,0.166,6705,0.033,81943
231,Merck,U.S.,68000,262,59283,0.158,14519,0.113,109160
232,Deutsche Bahn,Germany,324136,230,59210,0.064,-262,-,81415
233,Bharat Petroleum,India,9193,295,59114,0.261,265,-0.831,22912
234,World Kinect,U.S.,5214,455,59043,0.884,114,0.548,8165
235,State Bank of India,India,235858,236,58951,0.079,6930,0.459,725264
236,Nippon Steel Corporation,Japan,114029,214,58923,-0.028,5127,-0.096,72074
237,Energie Baden-Wurttemberg,Germany,25339,368,58901,0.55,1828,3.257,74160
238,New York Life Insurance,U.S.,15050,263,58445,0.142,-1127,-5.066,392126
239,Enterprise Products Partners,U.S.,7300,343,58186,0.426,5490,0.184,68108
240,AbbVie,U.S.,50000,227,58054,0.033,11836,0.025,138805
241,Anheuser-Busch InBev,Belgium,166632,239,57786,0.064,5969,0.278,212943
242,Tokyo Electric Power,Japan,38007,290,57616,0.219,-913,-19.192,102178
243,Plains GP Holdings,U.S.,4100,329,57342,0.363,168,1.8,29207
244,Zhejiang Hengyi Group,China,21261,264,57332,0.122,-153,-1.893,19554
245,Dow,U.S.,37800,235,56902,0.035,4582,-0.274,60603
246,Iberdrola,Spain,40090,304,56741,0.227,4564,-0.006,165030
247,China National Building Material Group,China,208857,196,56514,-0.123,629,0.043,101920
248,American International Group,U.S.,26200,255,56437,0.084,10276,0.095,526634
249,Talanx,Germany,23669,244,56029,0.049,1233,0.031,206073
250,Sberbank,Russia,210661,270,55877,0.111,3959,-0.767,564401
251,Banco do Brasil,Brazil,85953,465,55870,0.826,5353,0.574,379820
252,China Electronics Technology Group,China,235912,233,55848,0.007,2665,0.239,86146
253,American Express,U.S.,77300,320,55625,0.274,7514,-0.068,228354
254,Rio Tinto Group,Britain,53726,201,55554,-0.125,12420,-0.411,96744
255,Publix Super Markets,U.S.,242000,283,54942,0.135,2918,-0.339,31047
256,China Energy Engineering Group,China,116263,269,54890,0.09,545,-0.093,98548
257,Tsingshan Holding Group,China,100982,238,54711,0.003,1457,-0.389,20139
258,Korea Electric Power,South Korea,49237,249,54650,0.044,-18954,-,186655
259,Koç Holding,Turkey,114677,357,54467,0.396,4216,1.466,84577
260,Shanghai Pudong Development Bank,China,64731,226,54028,-0.049,7607,-0.074,1262056
261,Charter Communications,U.S.,101700,259,54022,0.045,5055,0.086,144523
262,State Power Investment,China,123401,260,54022,0.049,744,-,229339
263,Saint-Gobain,France,155685,252,53847,0.031,3158,0.06,59087
264,Daimler Truck Holding,Germany,102888,-,53582,-,2803,-,68255
265,Bayer,Germany,101369,254,53365,0.024,4365,2.692,133244
266,Tyson Foods,U.S.,142000,292,53282,0.132,3238,0.063,36821
267,China United Network Communications,China,244508,267,52766,0.038,1085,0.11,93471
268,Deere,U.S.,82239,318,52577,0.194,7131,0.196,90030
269,Shaanxi Yanchang Petroleum (Group),China,129525,257,52224,0.008,870,0.594,70896
270,Royal Bank of Canada,Canada,91427,307,52062,0.132,12265,-0.038,1405792
271,Novartis,Switzerland,101703,248,51828,-0.02,6955,-0.71,117453
272,China State Shipbuilding,China,204497,243,51799,-0.035,2710,0.038,136965
273,Banco Bradesco,Brazil,81222,439,51587,0.585,4066,-0.054,340449
274,Cisco Systems,U.S.,83300,274,51557,0.035,11812,0.115,94002
275,Nationwide,U.S.,24791,289,51450,0.086,988,-0.389,264511
276,Allstate,U.S.,54250,246,51412,-0.034,-1311,-1.82,97957
277,Cenovus Energy,Canada,5998,384,51406,0.39,4956,9.585,41241
278,Midea Group,China,166243,245,51393,-0.035,4393,-0.008,61265
279,Sinomach,China,125370,224,51126,-0.11,-409,-1.892,51583
280,Delta Air Lines,U.S.,95000,478,50582,0.692,1318,3.707,72288
281,LyondellBasell Industries,Netherlands,19300,305,50451,0.093,3882,-0.308,36365
282,Sumitomo,Japan,78221,279,50370,0.03,4176,0.012,76136
283,Ansteel Group,China,163992,217,50041,-0.158,608,-0.467,69740
284,Liberty Mutual Insurance Group,U.S.,50000,285,49956,0.036,414,-0.865,160316
285,TJX,U.S.,329000,280,49936,0.029,3498,0.066,28349
286,Renault,France,105812,237,49924,-0.086,-356,-1.339,126246
287,Progressive,U.S.,55063,286,49611,0.04,722,-0.785,75465
288,Edeka Zentrale,Germany,408900,256,49481,-0.048,416,0.003,10396
289,Jinchuan Group,China,28930,339,49467,0.208,1113,0.153,20862
290,Tokio Marine Holdings,Japan,43217,253,49119,-0.059,2781,-0.257,208677
291,American Airlines Group,U.S.,129700,479,48971,0.639,127,-,64716
292,Contemporary Amperex Technology,China,118914,-,48849,1.417,4568,0.85,87130
293,Energi Danmark Group,Denmark,220,-,48717,1.575,1251,-,5044
294,Toronto-Dominion Bank,Canada,94945,366,48700,0.272,13535,0.191,1406019
295,SoftBank Group,Japan,63339,234,48542,-0.124,-7167,-,330996
296,Hanwha,South Korea,54918,306,48245,0.045,1017,0.291,167871
297,ING Group,Netherlands,58232,425,48062,0.42,12754,0.813,1042282
298,CHS,U.S.,10014,362,47792,0.243,1679,2.031,18825
299,Sanofi,France,91573,303,47738,0.031,8804,0.197,135212
300,Groupe BPCE,France,96936,282,47723,-0.015,4156,-0.122,1633720
301,Raízen,Brazil,44738,398,47721,0.331,474,-0.197,22001
302,Vodafone Group,Britain,98103,247,47550,-0.102,12316,4.079,169051
303,Denso,Japan,164572,278,47292,-0.037,2325,-0.011,55813
304,Performance Food Group,U.S.,34825,468,47194,0.616,113,1.764,12378
305,HD Hyundai,South Korea,23316,-,47138,0.916,1091,-,52125
306,PBF Energy,U.S.,3616,-,46830,0.718,2877,11.454,13549
307,Volvo,Sweden,94921,323,46828,0.079,3236,-0.153,60369
308,Nike,U.S.,79100,313,46710,0.049,6046,0.056,40321
309,Bouygues,France,196154,314,46696,0.049,1023,-0.231,64655
310,Zhejiang Communications Investment Group,China,41757,302,46617,0.005,859,-0.043,121861
311,Best Buy,U.S.,71100,258,46298,-0.106,1419,-0.422,15803
312,Bristol-Myers Squibb,U.S.,34300,301,46159,-0.005,6327,-0.095,96820
313,Susun Construction Group,China,151135,299,46138,-0.007,1357,-0.179,32994
314,Ingka Group,Netherlands,177192,287,46135,-0.03,315,-0.833,58116
315,ZF Friedrichshafen,Germany,161901,310,46068,0.017,239,-0.694,41553
316,Swiss Re,Switzerland,14408,296,45998,-0.016,472,-0.672,170676
317,EXOR Group,Netherlands,80932,293,45977,-0.022,4446,1.19,89307
318,Banco Bilbao Vizcaya Argentaria,Spain,115675,352,45766,0.15,6752,0.227,760920
319,Orange,France,130307,271,45721,-0.091,2257,7.193,116997
320,Jingye Group,China,31000,386,45705,0.239,329,-0.63,12587
321,Sumitomo Mitsui Financial Group,Japan,111381,388,45378,0.24,5954,-0.054,2037280
322,GS Caltex,South Korea,3322,470,45343,0.502,2161,1.351,20699
323,China Huadian,China,92857,326,45113,0.053,1021,1.728,148926
324,Veolia Environnement,France,202210,427,45105,0.338,753,0.575,78216
325,Barclays,Britain,87400,374,45023,0.199,7309,-0.26,1820526
326,United Airlines Holdings,U.S.,92795,-,44955,0.825,737,-,67358
327,Suncor Energy,Canada,16558,457,44928,0.44,6975,1.123,62463
328,Thermo Fisher Scientific,U.S.,130000,355,44915,0.145,6950,-0.1,97154
329,China Minsheng Banking,China,62615,273,44582,-0.11,5243,-0.016,1051974
330,ThyssenKrupp,Germany,96494,344,44502,0.095,1229,-,36671
331,AstraZeneca,Britain,83500,381,44351,0.185,3288,28.357,96483
332,Vale,Brazil,64516,231,44287,-0.203,18788,-0.163,86894
333,Pegatron,Taiwan,161836,311,44273,-0.022,507,-0.311,20718
334,Qualcomm,U.S.,51000,429,44200,0.317,12936,0.43,49014
335,Woolworths Group,Australia,197773,272,44126,-0.121,5754,2.717,22975
336,George Weston,Canada,221285,319,43838,-0.002,1396,3.059,36139
337,Tata Motors,India,81811,370,43661,0.155,301,-,40936
338,Abbott Laboratories,U.S.,115000,325,43653,0.013,6933,-0.02,74438
339,KB Financial Group,South Korea,25876,382,43622,0.173,3405,-0.116,557387
340,SNCF Group,France,276271,335,43594,0.061,2551,1.424,141949
341,China South Industries Group,China,156613,315,43429,-0.021,1015,0.378,59633
342,Chubb,Switzerland,34000,338,43166,0.054,5313,-0.378,199144
343,GSK,Britain,69400,294,43035,-0.083,18439,2.058,72338
344,Coca-Cola,U.S.,82500,359,43004,0.113,9542,-0.023,92763
345,Quanta Computer,Taiwan,67979,349,42997,0.063,972,-0.193,26576
346,Fresenius,Germany,282024,316,42954,-0.032,1443,-0.329,81535
347,UBS Group,Switzerland,72597,345,42950,0.057,7630,0.023,1104364
348,Jiangsu Shagang Group,China,45203,291,42784,-0.091,558,-0.755,49903
349,America Movil,Mexico,176014,275,42724,-0.14,3788,-0.601,83055
350,Mizuho Financial Group,Japan,51258,404,42693,0.21,4104,-0.131,1915460
351,Shanghai Construction Group,China,51353,321,42522,-0.024,202,-0.655,53182
352,Oracle,U.S.,143000,348,42440,0.048,6717,-0.511,109297
353,Rajesh Exports,India,135,437,42306,0.296,178,0.317,2786
354,Deutsche Bank,Germany,84930,350,42285,0.052,5701,0.967,1434280
355,Telefónica,Spain,103651,300,42063,-0.094,2115,-0.78,116988
356,China National Coal Group,China,147293,297,41997,-0.1,1877,1.716,70504
357,KDDI,Japan,49659,281,41902,-0.136,5005,-0.164,89782
358,Zurich Insurance Group,Switzerland,59498,179,41750,-0.402,4603,-0.115,377782
